,County,Basin,GOM,DrillFor,Location,State/Province,Trajectory,Year,Month,US_PublishDate,Rig Count Value
UNITED STATES,WALKER RIDGE,Other,Yes,Oil,Offshore,LOUISIANA,Vertical,2020,1,03-01-2020,1
UNITED STATES,BRAZOS,Other,Yes,Oil,Offshore,TEXAS,Horizontal,2020,1,03-01-2020,1
UNITED STATES,EDDY,Permian,No,Oil,Land,NEW MEXICO,Horizontal,2020,1,03-01-2020,49
UNITED STATES,LEA,Permian,No,Oil,Land,NEW MEXICO,Horizontal,2020,1,03-01-2020,50
UNITED STATES,EDDY,Permian,No,Oil,Land,NEW MEXICO,Vertical,2020,1,03-01-2020,3
UNITED STATES,LEA,Permian,No,Oil,Land,NEW MEXICO,Vertical,2020,1,03-01-2020,1
UNITED STATES,GAINES,Permian,No,Oil,Land,TEXAS,Directional,2020,1,03-01-2020,1
UNITED STATES,LOVING,Permian,No,Oil,Land,TEXAS,Directional,2020,1,03-01-2020,1
UNITED STATES,SCURRY,Permian,No,Oil,Land,TEXAS,Directional,2020,1,03-01-2020,1
UNITED STATES,YOAKUM,Permian,No,Oil,Land,TEXAS,Directional,2020,1,03-01-2020,1
UNITED STATES,ANDREWS,Permian,No,Oil,Land,TEXAS,Horizontal,2020,1,03-01-2020,9
UNITED STATES,CULBERSON,Permian,No,Oil,Land,TEXAS,Horizontal,2020,1,03-01-2020,12
UNITED STATES,ECTOR,Permian,No,Oil,Land,TEXAS,Horizontal,2020,1,03-01-2020,2
UNITED STATES,FISHER,Permian,No,Oil,Land,TEXAS,Horizontal,2020,1,03-01-2020,2
UNITED STATES,GLASSCOCK,Permian,No,Oil,Land,TEXAS,Horizontal,2020,1,03-01-2020,2
UNITED STATES,HOWARD,Permian,No,Oil,Land,TEXAS,Horizontal,2020,1,03-01-2020,24
UNITED STATES,IRION,Permian,No,Oil,Land,TEXAS,Horizontal,2020,1,03-01-2020,2
UNITED STATES,LOVING,Permian,No,Oil,Land,TEXAS,Horizontal,2020,1,03-01-2020,36
UNITED STATES,MARTIN,Permian,No,Oil,Land,TEXAS,Horizontal,2020,1,03-01-2020,29
UNITED STATES,MIDLAND,Permian,No,Oil,Land,TEXAS,Horizontal,2020,1,03-01-2020,48
UNITED STATES,PECOS,Permian,No,Oil,Land,TEXAS,Horizontal,2020,1,03-01-2020,17
UNITED STATES,REAGAN,Permian,No,Oil,Land,TEXAS,Horizontal,2020,1,03-01-2020,8
UNITED STATES,REEVES,Permian,No,Oil,Land,TEXAS,Horizontal,2020,1,03-01-2020,41
UNITED STATES,UPTON,Permian,No,Oil,Land,TEXAS,Horizontal,2020,1,03-01-2020,17
UNITED STATES,WARD,Permian,No,Oil,Land,TEXAS,Horizontal,2020,1,03-01-2020,22
UNITED STATES,WINKLER,Permian,No,Oil,Land,TEXAS,Horizontal,2020,1,03-01-2020,2
UNITED STATES,YOAKUM,Permian,No,Oil,Land,TEXAS,Horizontal,2020,1,03-01-2020,1
UNITED STATES,ANDREWS,Permian,No,Oil,Land,TEXAS,Vertical,2020,1,03-01-2020,1
UNITED STATES,CRANE,Permian,No,Oil,Land,TEXAS,Vertical,2020,1,03-01-2020,1
UNITED STATES,DAWSON,Permian,No,Oil,Land,TEXAS,Vertical,2020,1,03-01-2020,1
UNITED STATES,DICKENS,Permian,No,Oil,Land,TEXAS,Vertical,2020,1,03-01-2020,1
UNITED STATES,ECTOR,Permian,No,Oil,Land,TEXAS,Vertical,2020,1,03-01-2020,1
UNITED STATES,FISHER,Permian,No,Oil,Land,TEXAS,Vertical,2020,1,03-01-2020,1
UNITED STATES,HUDSPETH,Permian,No,Oil,Land,TEXAS,Vertical,2020,1,03-01-2020,1
UNITED STATES,KING,Permian,No,Oil,Land,TEXAS,Vertical,2020,1,03-01-2020,1
UNITED STATES,MARTIN,Permian,No,Oil,Land,TEXAS,Vertical,2020,1,03-01-2020,2
UNITED STATES,MIDLAND,Permian,No,Oil,Land,TEXAS,Vertical,2020,1,03-01-2020,3
UNITED STATES,NOLAN,Permian,No,Oil,Land,TEXAS,Vertical,2020,1,03-01-2020,1
UNITED STATES,PECOS,Permian,No,Oil,Land,TEXAS,Vertical,2020,1,03-01-2020,1
UNITED STATES,REEVES,Permian,No,Oil,Land,TEXAS,Vertical,2020,1,03-01-2020,4
UNITED STATES,UPTON,Permian,No,Oil,Land,TEXAS,Vertical,2020,1,03-01-2020,1
UNITED STATES,WINKLER,Permian,No,Oil,Land,TEXAS,Vertical,2020,1,03-01-2020,1
UNITED STATES,YOAKUM,Permian,No,Oil,Land,TEXAS,Vertical,2020,1,03-01-2020,1
UNITED STATES,ASHLAND,Utica,No,Gas,Land,OHIO,Horizontal,2020,1,03-01-2020,1
UNITED STATES,GUERNSEY,Utica,No,Gas,Land,OHIO,Horizontal,2020,1,03-01-2020,1
UNITED STATES,JEFFERSON,Utica,No,Gas,Land,OHIO,Horizontal,2020,1,03-01-2020,3
UNITED STATES,MONROE,Utica,No,Gas,Land,OHIO,Horizontal,2020,1,03-01-2020,2
UNITED STATES,BELMONT,Utica,No,Oil,Land,OHIO,Horizontal,2020,1,03-01-2020,1
UNITED STATES,JEFFERSON,Utica,No,Oil,Land,OHIO,Horizontal,2020,1,03-01-2020,1
UNITED STATES,BELMONT,Utica,No,Gas,Land,OHIO,Vertical,2020,1,03-01-2020,1
UNITED STATES,GUERNSEY,Utica,No,Gas,Land,OHIO,Vertical,2020,1,03-01-2020,1
UNITED STATES,DANIELS,Williston,No,Oil,Land,MONTANA,Horizontal,2020,1,03-01-2020,1
UNITED STATES,RICHLAND,Williston,No,Oil,Land,MONTANA,Horizontal,2020,1,03-01-2020,1
UNITED STATES,MCKENZIE,Williston,No,Oil,Land,NORTH DAKOTA,Directional,2020,1,03-01-2020,1
UNITED STATES,DUNN,Williston,No,Oil,Land,NORTH DAKOTA,Horizontal,2020,1,03-01-2020,13
UNITED STATES,MCKENZIE,Williston,No,Oil,Land,NORTH DAKOTA,Horizontal,2020,1,03-01-2020,18
UNITED STATES,MOUNTRAIL,Williston,No,Oil,Land,NORTH DAKOTA,Horizontal,2020,1,03-01-2020,10
UNITED STATES,WILLIAMS,Williston,No,Oil,Land,NORTH DAKOTA,Horizontal,2020,1,03-01-2020,8
UNITED STATES,CARTER,Ardmore Woodford,No,Oil,Land,OKLAHOMA,Horizontal,2020,1,10-01-2020,2
UNITED STATES,HUGHES,Arkoma Woodford,No,Gas,Land,OKLAHOMA,Horizontal,2020,1,10-01-2020,1
UNITED STATES,PITTSBURG,Arkoma Woodford,No,Gas,Land,OKLAHOMA,Horizontal,2020,1,10-01-2020,1
UNITED STATES,DENTON,Barnett,No,Gas,Land,TEXAS,Horizontal,2020,1,10-01-2020,1
UNITED STATES,BLAINE,Cana Woodford,No,Oil,Land,OKLAHOMA,Horizontal,2020,1,10-01-2020,2
UNITED STATES,CANADIAN,Cana Woodford,No,Oil,Land,OKLAHOMA,Horizontal,2020,1,10-01-2020,9
UNITED STATES,DEWEY,Cana Woodford,No,Oil,Land,OKLAHOMA,Horizontal,2020,1,10-01-2020,1
UNITED STATES,GRADY,Cana Woodford,No,Oil,Land,OKLAHOMA,Horizontal,2020,1,10-01-2020,9
UNITED STATES,ADAMS,DJ-Niobrara,No,Oil,Land,COLORADO,Horizontal,2020,1,10-01-2020,1
UNITED STATES,Broomfield,DJ-Niobrara,No,Oil,Land,COLORADO,Horizontal,2020,1,10-01-2020,1
UNITED STATES,LARIMER,DJ-Niobrara,No,Oil,Land,COLORADO,Horizontal,2020,1,10-01-2020,1
